Alias,Last Active,Status,Origin,Target Industries,Target Countries,Actor Type,Motivation
"ICTUS Team, Tapesh Security Team, BiskooitPedar, Cyber Avengers",May 2022,Inactive,Iran,2,4,Targeted,Hacktivism
"Zloader, Silent Night, DELoader, Terdot",Mar 2022,Inactive,Unknown,1,0,eCrime,Criminal
"PARISITE, UNC757, Fox Kitten, Yellow Dev 15, COBALT FOXGLOVE, Lemon Sandstorm",Mar 2022,Active,Iran,16,2,Targeted,State-Sponsored
GOLD HERON,Feb 2022,Retired,"Russian Federation, Eastern Europe",31,32,eCrime,Criminal
RobbinHood,Feb 2022,Retired,Unknown,4,3,eCrime,Criminal
"DeathKitty, DeathRansom, HelloKitty, HellKitty, FiveHands",Jan 2022,Retired,Unknown,6,5,eCrime,Criminal
FunnyDream,Jan 2022,Active,China,2,3,Targeted,State-Sponsored
"ServHelper, HRDP, La_Citrix, X3_Mazafaka",Dec 2021,Inactive,Unknown,1,0,eCrime,Criminal
"Pysa, Mespinoza, GOLD BURLAP",Dec 2021,Inactive,Unknown,31,34,eCrime,Criminal
Circle Typhoon,Dec 2021,Active,Unknown,7,2,Targeted,Unknown
--,Nov 2021,Active,Unknown,1,1,Targeted,State-Sponsored
Unidentified Team,Nov 2021,Inactive,Iran,3,2,Targeted,Hacktivism
"Temp.Periscope, Temp.Jumper, Leviathan, APT40, GADOLINIUM, Mudcarp, Gingham Typhoon",Nov 2021,Active,China,14,14,Targeted,State-Sponsored
"APT23, KeyBoy, Tropic Trooper",Nov 2021,Active,China,6,6,Targeted,State-Sponsored
"Sodinokibi, GOLD GARDEN, GOLD SOUTHFIELD, GandCrab, REvil",Oct 2021,Inactive,"Russian Federation, Eastern Europe",34,39,eCrime,Criminal
"MysticChess, CactusPete, Tonto Team, Earth Akhlut, Jennifer Group, Bronze Huntley, LoneRanger",Sep 2021,Active,China,6,6,Targeted,State-Sponsored
"Elfin, Magnallium, HOLMIUM, COBALT TRINITY, Peach Sandstorm, APT33",Jul 2021,Active,Iran,5,3,Targeted,State-Sponsored
